source_,tgt_,model_id,model_human,pair,mqm_score,comet_xl,comet_xxl,prometheus,gemba_all_orig,gemba_all_literary,gemba_acc_literary,gemba_flu_literary,gemba_all_literary,gemba_sty_literary,gemba_term_literary,mqm_score_acc,mqm_score_fluency,mqm_score_style,mqm_score_term
Und so ließ sie sich,And so she refused t,translator1//58,translator,de-en,-1.2857142857142858,0.16713997721672,0.077517792582511,4,-1.7142857142857142,-1.8571428571428572,-5,-6,-1.8571428571428572,-2,0,-4,0,-5,0
Und so ließ sie sich,"And so, she resisted",Qwen_Qwen2-beta-7B-Chat//59,qwen2-beta-7b-chat,de-en,-2.4285714285714284,0.045523386448621,0.215862438082695,4,-8.857142857142858,-8.857142857142858,-50,-10,-8.857142857142858,-2,0,-6,-1,0,0
Und so ließ sie sich,And so she did not l,m2m100_418M//60,m2m,de-en,-5.857142857142857,0.096914134919643,0.081053651869297,1,-13.142857142857142,-13.285714285714286,-30,-57,-13.285714285714286,-6,0,-37,-2,-2,-1
Und so ließ sie sich,And so she was not d,nllb//61,nllb,de-en,-4.571428571428571,0.191010519862175,0.134771212935447,4,-5.285714285714286,-5.285714285714286,-25,-6,-5.285714285714286,-6,0,-25,-4,-2,-1
Und so ließ sie sich,And so she held fast,translator3//62,translator,de-en,-1.2857142857142858,0.103677779436111,0.210989981889724,4,-1.7142857142857142,-1.7142857142857142,-5,-5,-1.7142857142857142,-2,0,-1,-6,-2,0
Und so ließ sie sich,And so she did not a,DeepL//63,deepl,de-en,-4.714285714285714,0.125226989388465,0.111586943268775,2,-1.7142857142857142,-1.7142857142857142,-5,-5,-1.7142857142857142,-2,0,-29,0,-4,0
Und so ließ sie sich," And so, she did not",Unbabel_TowerInstruct-7B-v0.2//64,towerinstruct-7b-v0.2,de-en,-2.2857142857142856,0.136245086789131,0.273041605949401,2,-1.7142857142857142,-1.7142857142857142,-5,-6,-1.7142857142857142,-1,0,-9,-1,-6,0
Und so ließ sie sich,And so she was not d,GPT-4o//65,gpt4o,de-en,-2.4285714285714284,0.139849081635475,0.207936704158782,2,-1.1428571428571428,-1.7142857142857142,-5,-5,-1.7142857142857142,-2,0,-11,-1,-4,0
Und so ließ sie sich,And so she did not l,Google Translate//66,google translate,de-en,-3.5714285714285716,0.133512616157531,0.097304016351699,5,-1.7142857142857142,-1.7142857142857142,-5,-5,-1.7142857142857142,-2,0,-16,-6,-3,0
Und so ließ sie sich,"And so, she couldn't",meta-llama_Meta-Llama-3-8B-Instruct//67,meta-llama-3-8b-instruct,de-en,-1.5714285714285714,0.103869535028934,0.200637236237525,4,-1.7142857142857142,-1.7142857142857142,-5,-5,-1.7142857142857142,-2,0,-8,0,-3,0
Und so ließ sie sich,And so she did not l,translator2//68,translator,de-en,0.0,0.170066595077514,0.274863213300704,4,-1.7142857142857142,-1.8571428571428572,-5,-6,-1.8571428571428572,-2,0,0,0,0,0
Und so ließ sie sich,They stubbornly clun,google_gemma-1.1-7b-it//69,gemma-1.1-7b-it,de-en,-5.142857142857143,0.133329078555107,0.221378147602081,2,-5.285714285714286,-5.285714285714286,-30,-5,-5.285714285714286,-2,0,-32,0,-4,0
"Ermüdet, betäubt von",Exhausted and dazed ,batch1_google_gemma-1.1-7b-it//1898,gemma-1.1-7b-it,de-en,-1.8333333333333333,0.243037089705467,0.34627541899681,4,-1.0,-2.0,-5,-5,-2.0,-2,0,-10,-1,0,0
"Ermüdet, betäubt von",Exhausted and dulled,batch1_Qwen_Qwen2-beta-7B-Chat//1899,qwen2-beta-7b-chat,de-en,-1.6666666666666667,0.236738264560699,0.089266121387481,2,-2.0,-2.0,-5,-5,-2.0,-2,0,-8,0,-2,0
"Ermüdet, betäubt von","Weary, numbed by the",batch1_meta-llama_Meta-Llama-3-8B-Instruct//1900,meta-llama-3-8b-instruct,de-en,-0.8333333333333334,0.102554626762866,0.139863520860672,4,-1.1666666666666667,-6.166666666666667,-30,-5,-6.166666666666667,-2,0,-3,0,-3,0
"Ermüdet, betäubt von","Tired, anesthetized ",m2m_100//1901,m2m,de-en,-3.5,0.182517156004905,0.184040322899818,3,-6.166666666666667,-6.166666666666667,-30,-5,-6.166666666666667,-2,0,-17,-2,-2,0
"Ermüdet, betäubt von","Tired, stunned by th",google translate//1902,google translate,de-en,-0.5,0.162091627717018,0.252332389354705,4,-1.1666666666666667,-2.0,-5,-5,-2.0,-2,0,-2,-1,0,0
"Ermüdet, betäubt von",He distributed the c,translator3//1903,translator,de-en,-0.8333333333333334,0.219848960638046,0.086990088224411,5,-2.0,-2.0,-5,-5,-2.0,-2,0,-1,-2,-2,0
"Ermüdet, betäubt von",Exhausted and benumb,translator2//1904,translator,de-en,-0.3333333333333333,0.159859612584114,0.099507272243499,5,-2.0,-2.0,-5,-5,-2.0,-2,0,-1,0,-2,0
"Ermüdet, betäubt von","Tired, numbed by the",nllb//1905,nllb,de-en,-3.0,0.147513091564178,0.238355726003646,4,-6.0,-6.166666666666667,-30,-5,-6.166666666666667,-2,0,-13,-5,0,0
"Ermüdet, betäubt von","Exhausted, numb from",translation_gpt4o//1906,gpt4o,de-en,-0.5,0.132488474249839,0.338611274957656,4,-1.1666666666666667,-2.0,-5,-5,-2.0,-2,0,-2,-1,0,0
"Ermüdet, betäubt von",Tired and numb from ,batch1_Unbabel_TowerInstruct-7B-v0.2//1907,towerinstruct-7b-v0.2,de-en,-1.0,0.180187672376632,0.256701201200485,4,-2.0,-1.1666666666666667,-5,-1,-1.1666666666666667,-1,0,-3,0,-3,0
"Ermüdet, betäubt von","Tired, stunned by th",deepl//1908,deepl,de-en,-1.1666666666666667,0.188086226582527,0.310338675975799,4,-1.1666666666666667,-2.0,-5,-5,-2.0,-2,0,-5,-1,-1,0
"Ermüdet, betäubt von",Tired out by the con,translator1//1909,translator,de-en,-1.0,0.170183628797531,0.088645838201045,5,-2.0,-2.1666666666666665,-5,-5,-2.1666666666666665,-2,-1,-2,-2,-3,0
Nach einigen Jahren ,After several years ,m2m_100//1910,m2m,de-en,-3.0,0.291685104370117,0.412187963724136,5,-15.25,-8.0,-25,-5,-8.0,-2,0,-10,-2,-1,0
Nach einigen Jahren ,"Early on, after a fe",translator3//1911,translator,de-en,-1.75,0.7280585765838621,0.732182145118713,5,-1.75,-3.0,-5,-5,-3.0,-2,0,0,-2,-5,0
Nach einigen Jahren ,After several years ,nllb//1912,nllb,de-en,-1.5,0.54309070110321,0.48958271741867,5,-2.75,-2.75,-5,-5,-2.75,-1,0,-4,-1,-2,0
Nach einigen Jahren ,After a few years of,deepl//1913,deepl,de-en,-2.0,0.6937927007675171,0.626722276210784,5,-1.5,-1.75,-5,-1,-1.75,-1,0,-7,0,-1,0
Nach einigen Jahren ,After several years ,batch1_Qwen_Qwen2-beta-7B-Chat//1914,qwen2-beta-7b-chat,de-en,-2.0,0.6250175237655641,0.536210238933563,5,-1.5,-1.5,-5,0,-1.5,-1,0,-7,-1,0,0
Nach einigen Jahren ,After several restle,translator2//1915,translator,de-en,-1.75,0.458898156881332,0.6337569952011101,5,-1.75,-1.75,-5,-1,-1.75,-1,0,0,0,-7,0
Nach einigen Jahren ,After a few years of,batch1_meta-llama_Meta-Llama-3-8B-Instruct//1916,meta-llama-3-8b-instruct,de-en,-2.25,0.503412127494812,0.6449424028396601,5,-1.75,-1.75,-5,-1,-1.75,-1,0,-6,0,-3,0
Nach einigen Jahren ,After several years ,batch1_google_gemma-1.1-7b-it//1917,gemma-1.1-7b-it,de-en,-3.0,0.705093801021575,0.602607607841491,5,-3.0,-3.0,-5,-1,-3.0,-6,0,-10,0,-3,0
Nach einigen Jahren ,After a few years of,batch1_Unbabel_TowerInstruct-7B-v0.2//1918,towerinstruct-7b-v0.2,de-en,-3.75,0.492758840322494,0.426597952842712,5,-9.25,-9.25,-30,-5,-9.25,-1,-1,-12,-2,-2,0
